pmcid,pmid,doi,created,created_year
PMC3515343,23176204,10.1186/1478-811X-10-34,2012-11-23,2012
PMC3519612,23025700,10.1186/1743-422X-9-225,2012-10-01,2012
PMC3534549,23158906,10.1186/1743-422X-9-275,2012-11-16,2012
PMC3547719,23244491,10.1186/1743-422X-9-310,2012-12-18,2012
PMC3548747,23131097,10.1186/1743-422X-9-261,2012-11-06,2012
PMC3560205,23332027,10.1186/1743-422X-10-26,2013-01-19,2013
PMC3568730,23171743,10.1186/1743-422X-9-278,2012-11-21,2012
PMC3569343,23405345,10.1128/genomeA.00093-12,2013-01-31,2013
PMC3573994,23102237,10.1186/1743-422X-9-247,2012-10-27,2012
PMC3574041,23379693,10.1186/1752-153X-7-24,2013-02-04,2013
PMC3577433,23402347,10.1186/1743-422X-10-54,2013-02-13,2013
PMC3579692,23388060,10.1186/1476-072X-12-6,2013-02-07,2013
PMC3587950,23469356,10.1128/genomeA.00243-12,2013-01-01,2013
PMC3588994,23476230,10.1107/S1600536812046909,2012-11-24,2012
PMC3593334,23516180,10.1128/genomeA.00022-13,2013-03-07,2013
PMC3596692,23554661,10.1016/S1674-8301(10)60059-0,2010-11-01,2010
PMC3596701,23554678,10.1016/S1674-8301(11)60013-4,2011-03-01,2011
PMC3598402,23391188,10.1186/1743-422X-10-49,2013-02-08,2013
PMC3599982,23445530,10.1186/1743-422X-10-66,2013-02-28,2013
PMC3610273,23379823,10.1186/1743-422X-10-46,2013-02-05,2013
PMC3612824,23556129,NA,2013-01-01,2013
PMC3614426,23339605,10.1186/1743-422X-10-28,2013-01-22,2013
PMC3614584,23674957,NA,2005-06-01,2005
PMC3615292,23675206,NA,2010-12-01,2010
PMC3623871,23566284,10.1186/1743-422X-10-110,2013-04-08,2013
PMC3630398,23599287,10.1128/genomeA.00105-13,2013-03-01,2013
PMC3637674,23997755,10.2174/1570159X11311020007,2013-03-01,2013
PMC3639867,23575279,10.1186/1743-422X-10-111,2013-04-10,2013
PMC3641965,23425498,10.1186/1476-072X-12-9,2013-02-20,2013
PMC3651014,23283014,10.1097/WOX.0b013e3181a7c288,2009-05-01,2009
PMC3651123,23282542,10.1097/WOX.0b013e31822c9540,2011-08-01,2011
PMC3653767,23618040,10.1186/1743-422X-10-132,2013-04-25,2013
PMC3655035,23651577,10.1186/1743-422X-10-143,2013-05-07,2013
PMC3658953,23517810,10.1186/1743-422X-10-91,2013-03-22,2013
PMC3680276,23706032,10.1186/1743-422X-10-163,2013-05-26,2013
PMC3686584,23714224,10.1186/1743-422X-10-166,2013-05-28,2013
PMC3688439,NA,10.1186/2047-2994-2-S1-P42,2013-06-20,2013
PMC3702417,23800113,10.1186/1447-056X-12-3,2013-06-26,2013
PMC3706282,23805898,10.1186/1743-422X-10-212,2013-06-27,2013
PMC3716469,23878501,NA,2013-07-19,2013
PMC3716658,23805916,10.1186/1743-422X-10-213,2013-06-27,2013
PMC3716818,23822185,10.1186/1743-422X-10-222,2013-07-04,2013
PMC3720222,23800142,10.1186/1743-422X-10-208,2013-06-24,2013
PMC3721661,23908776,10.5041/RMMJ.10004,2010-07-02,2010
PMC3735474,23890514,10.1186/1476-072X-12-35,2013-07-26,2013
PMC3738886,23929470,10.1128/genomeA.00555-13,2013-08-08,2013
PMC3750240,23865596,10.1186/1471-230X-13-117,2013-07-17,2013
PMC3750554,23680019,10.1186/1743-422X-10-153,2013-05-16,2013
PMC3751604,23969049,10.1128/genomeA.00622-13,2013-08-22,2013
PMC3751607,23969052,10.1128/genomeA.00645-13,2013-08-22,2013
PMC3751867,23805945,10.1186/1743-422X-10-214,2013-06-28,2013
PMC3754654,23850955,10.1128/JCM.00740-13,2013-07-12,2013
PMC3765664,23978242,10.1186/1743-422X-10-266,2013-08-26,2013
PMC3765696,23984714,10.1186/1743-422X-10-269,2013-08-28,2013
PMC3784778,24072858,10.1128/genomeA.00708-13,2013-09-26,2013
PMC3795213,24115543,10.1128/genomeA.00815-13,2013-10-10,2013
PMC3798579,22123226,10.2188/jea.JE20100181,2011-11-26,2011
PMC3812713,24149513,10.1128/mBio.00801-13,2013-10-22,2013
PMC3826533,24209904,10.1186/1743-422X-10-331,2013-11-09,2013
PMC3829811,24209771,10.1186/1743-422X-10-329,2013-11-09,2013
PMC3832146,24250485,NA,2012-01-01,2012
PMC3838109,24067955,10.1128/JVI.01443-13,2013-09-25,2013
PMC3838137,24049164,10.1128/JVI.02261-13,2013-09-18,2013
PMC3840398,24156369,10.1042/AN20130033,2013-11-26,2013
PMC3844316,23988202,10.1186/1743-422X-10-272,2013-08-29,2013
PMC3846606,24010815,10.1186/1743-422X-10-278,2013-09-08,2013
PMC3848638,24015922,10.1186/1743-422X-10-279,2013-09-10,2013
PMC3849350,24067107,10.1186/1743-422X-10-294,2013-09-25,2013
PMC3851529,24047399,10.1186/1743-422X-10-290,2013-09-18,2013
PMC3852826,24107353,10.1186/1743-422X-10-304,2013-10-10,2013
PMC3853330,24564794,10.1186/1471-2105-14-S16-S9,2013-10-22,2013
PMC3868854,24356830,10.1128/genomeA.01049-13,2013-12-19,2013
PMC3878046,24364985,10.1186/1743-422X-10-359,2013-12-23,2013
PMC3878732,24330654,10.1186/1743-422X-10-353,2013-12-13,2013
PMC3882642,NA,10.1186/1471-2334-13-S1-P78,2013-12-16,2013
PMC3893382,24359448,10.1186/1476-069X-12-115,2013-12-20,2013
PMC3898089,NA,10.1186/1743-422X-11-4,2014-01-22,2014
PMC3899419,21646746,10.2188/jea.JE20100119,2011-06-04,2011
PMC3903096,24478981,10.9734/ejmp/2013/5995,2013-01-01,2013
PMC3911697,24155369,10.1128/JVI.02595-13,2013-10-23,2013
PMC3924095,19164870,10.2188/jea.JE20080042,2009-01-22,2009
PMC3941895,24624203,10.17795/jjnpp-8591,2013-07-17,2013
PMC3944821,24568207,10.1186/1743-422X-11-39,2014-02-25,2014
PMC3952952,24564983,10.1186/1472-6807-13-S1-S3,2013-11-08,2013
PMC3975527,24107289,10.1017/S0950268813002550,2013-10-10,2013
PMC3978084,24678699,10.1186/1476-069X-13-22,2014-03-28,2014
PMC3983293,24723704,10.1128/genomeA.00218-14,2014-04-10,2014
PMC3983307,24723718,10.1128/genomeA.00278-14,2014-04-10,2014
PMC3990748,24744332,10.1128/genomeA.00291-14,2014-04-17,2014
PMC3994276,24684861,10.1186/1743-422X-11-62,2014-03-31,2014
PMC3995317,24642046,10.1186/1471-244X-14-81,2014-03-19,2014
PMC3995557,24624924,10.1186/1743-422X-11-49,2014-03-14,2014
PMC4002024,24892459,NA,2013-04-01,2013
PMC4004515,24762043,10.1186/1743-422X-11-75,2014-04-24,2014
PMC4014123,24816104,10.1107/S1399004714002971,2014-04-30,2014
PMC4015357,23984826,10.1186/1743-422X-10-271,2013-08-29,2013
PMC4015617,24564892,10.1186/1743-422X-11-35,2014-02-24,2014
PMC4018502,24885320,10.1186/1743-422X-11-82,2014-05-06,2014
PMC4018625,24843023,10.7554/eLife.02362,2014-04-29,2014
PMC4030737,24886057,10.1186/1743-422X-11-89,2014-05-15,2014
PMC4038087,24884700,10.1186/1743-422X-11-97,2014-05-20,2014
PMC4038873,24874668,10.1128/genomeA.00324-14,2014-05-29,2014
PMC4038876,24874671,10.1128/genomeA.00451-14,2014-05-29,2014
PMC4038887,24874682,10.1128/genomeA.00505-14,2014-05-29,2014
PMC4053397,24884772,10.1186/1743-422X-11-98,2014-05-23,2014
PMC4056290,24926047,10.1128/genomeA.00503-14,2014-06-12,2014
PMC4064267,24903213,10.1186/1743-422X-11-106,2014-06-05,2014
PMC4076060,24942807,10.1186/1743-422X-11-113,2014-06-18,2014
PMC4102100,24308554,10.1017/S095026881300304X,2013-12-05,2013
PMC4102101,24787145,10.1017/S0950268814000946,2014-05-01,2014
PMC4110755,25013141,10.1128/genomeA.00670-14,2014-07-10,2014
PMC4112549,24966209,10.7554/eLife.02910,2014-06-25,2014
PMC4132226,25103205,10.1186/1743-422X-11-139,2014-08-08,2014
PMC4132615,25125639,10.1128/genomeA.00753-14,2014-08-14,2014
PMC4165494,25237472,10.4084/MJHID.2014.059,2014-09-01,2014
PMC4168555,25276514,10.9745/GHSP-D-12-00048,2013-03-21,2013
PMC4178896,24991001,10.1128/JVI.00898-14,2014-07-02,2014
PMC4188005,25286847,10.1107/S1399004714016770,2014-09-27,2014
PMC4190492,25253051,10.1186/1743-422X-11-170,2014-09-24,2014
PMC4216451,25587263,NA,2011-01-01,2011
PMC4221070,NA,10.1186/1471-2334-14-S2-S22,2014-05-23,2014
PMC4221769,25378745,10.2471/BLT.14.137828,2014-09-09,2014
PMC4224467,25485129,10.1107/S205225251402003X,2014-10-14,2014
PMC4231451,24161107,10.1186/1743-422X-10-316,2013-10-28,2013
PMC4235025,24304565,10.1186/1743-422X-10-349,2013-12-05,2013
PMC4239346,25414491,10.1128/genomeA.01116-14,2014-11-20,2014
PMC4246158,25428966,10.1128/genomeA.01191-14,2014-11-26,2014
PMC4254391,25106433,10.1186/1743-422X-11-144,2014-08-08,2014
PMC4254400,25103309,10.1186/1743-422X-11-140,2014-08-08,2014
PMC4254409,25112200,10.1186/1743-422X-11-146,2014-08-12,2014
PMC4256184,25477403,10.1128/genomeA.01239-14,2014-12-04,2014
PMC4271157,25523767,10.1128/genomeA.01291-14,2014-12-18,2014
PMC4299990,25610576,NA,2014-01-01,2014
PMC4299999,25610585,NA,2014-01-01,2014
PMC4301196,25359324,10.1017/S1751731114002602,2014-10-31,2014
PMC4304229,25653841,10.12688/f1000research.5741.2,2014-11-14,2014
PMC4335213,25561727,10.1074/jbc.M114.602649,2015-01-05,2015
PMC4337724,25695520,10.7554/eLife.05564,2015-02-19,2015
PMC4339970,25883398,10.2471/BLT.15.020215,2015-02-01,2015
PMC4358410,25789163,10.12688/f1000research.6164.2,2015-02-19,2015
PMC4381594,25426559,10.18632/oncotarget.2773,2015-01-01,2015
PMC4385842,25669982,10.18632/oncotarget.3236,2015-02-01,2015
PMC4393672,25870835,10.22074/cellj.2015.512,2015-04-08,2015
PMC4403053,25901144,NA,2015-01-01,2015
PMC4403408,25609811,10.1128/JVI.03391-14,2015-01-21,2015
PMC4411640,24901443,10.1017/S0950268814001393,2014-06-05,2014
PMC4411648,25119499,10.1017/S0950268814002076,2014-08-14,2014
PMC4424302,25953186,10.1128/genomeA.00401-15,2015-05-07,2015
PMC4431563,NA,10.2471/BLT.15.010415,2015-04-01,2015
PMC4432062,25832298,10.1128/JCM.02778-14,2015-04-01,2015
PMC4440965,25999551,10.1128/genomeA.00506-15,2015-05-21,2015
PMC4450712,NA,10.2471/BLT.15.010615,2015-06-01,2015
PMC4450714,26240457,10.2471/BLT.15.030615,2015-06-01,2015
PMC4456770,25342551,10.1017/S0950268814002635,2014-10-24,2014
PMC4467286,26097401,10.1177/1357034X13520331,2015-03-01,2015
PMC4474819,NA,10.1186/2047-2994-4-S1-O57,2015-06-16,2015
PMC4474925,NA,10.1186/2047-2994-4-S1-O58,2015-06-16,2015
PMC4481281,26112783,10.1128/genomeA.00634-15,2015-06-25,2015
PMC4490818,NA,10.2471/BLT.15.010715,2015-07-01,2015
PMC4524249,26063423,10.1128/JVI.01043-15,2015-08-01,2015
PMC4536669,26272558,10.1128/genomeA.00787-15,2015-08-13,2015
PMC4536671,26272560,10.1128/genomeA.00818-15,2015-08-13,2015
PMC4536677,26272566,10.1128/genomeA.00877-15,2015-08-13,2015
PMC4559728,26337879,10.1128/genomeA.00945-15,2015-09-03,2015
PMC4567570,26212519,10.1264/jsme2.ME15046,2015-07-25,2015
PMC4602525,25950690,10.1097/MD.0000000000000821,2015-05-01,2015
